work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,MI,FT,Data Analyst,165000.0,USD,165000.0,AU,0,AU,M
2023,MI,FT,Data Analyst,70000.0,USD,70000.0,US,100,US,M
2024,MI,FT,Machine Learning Engineer,85000.0,EUR,94444.0,IE,100,IE,M
2024,SE,FT,Data Scientist,92700.0,USD,92700.0,US,0,US,M
2023,MI,FT,Research Engineer,150000.0,USD,150000.0,US,0,US,M
2024,MI,FT,Research Engineer,26000.0,EUR,28888.0,PT,0,PT,M
2023,EX,FT,Machine Learning Engineer,145000.0,USD,145000.0,US,100,US,M
2022,SE,FT,Data Scientist,130000.0,USD,130000.0,US,100,US,M
2023,SE,FT,Data Scientist,159832.0,USD,159832.0,US,0,US,M
2024,SE,FT,Data Engineer,160000.0,USD,160000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,198200.0,USD,198200.0,US,100,US,M
2023,SE,FT,Data Analyst,85000.0,USD,85000.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,161000.0,GBP,198094.0,GB,0,GB,M
2023,EN,FT,Data Engineer,65000.0,USD,65000.0,US,0,US,M
2023,SE,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
2023,SE,FT,Data Scientist,202600.0,USD,202600.0,US,100,US,M
2024,MI,FT,Data Engineer,140000.0,USD,140000.0,US,0,US,M
2023,SE,FT,Machine Learning Infrastructure Engineer,220000.0,USD,220000.0,US,100,US,M
2023,MI,FT,Data Scientist,144000.0,USD,144000.0,US,100,US,M
2022,SE,FT,Data Engineer,110500.0,USD,110500.0,US,100,US,M
2023,SE,FT,Analytics Engineer,147500.0,USD,147500.0,US,0,US,M
2022,EN,FT,AI Research Engineer,30000.0,GBP,36940.0,GB,100,GB,L
2024,MI,FT,Machine Learning Engineer,174000.0,USD,174000.0,US,100,US,M
2024,MI,FT,Data Scientist,70000.0,USD,70000.0,US,0,US,M
2023,SE,FT,Data Scientist,225000.0,USD,225000.0,US,0,US,M
2023,SE,FT,Research Scientist,147100.0,USD,147100.0,US,0,US,M
2023,SE,FT,Analytics Engineer,275300.0,USD,275300.0,US,100,US,M
2023,SE,FT,BI Analyst,110000.0,USD,110000.0,US,0,US,M
2024,SE,FT,Data Engineer,123700.0,USD,123700.0,US,0,US,L
2023,MI,FT,Data Analyst,55000.0,EUR,59382.0,DE,50,DE,L
2023,SE,FT,Data Scientist,158677.0,USD,158677.0,US,100,US,M
2021,EN,FT,Data Scientist,2100000.0,INR,28399.0,IN,100,IN,M
2023,SE,FT,ML Engineer,151600.0,USD,151600.0,US,0,US,M
2024,EN,FT,Business Intelligence Analyst,53000.0,USD,53000.0,US,0,US,M
2023,SE,FT,AI Engineer,170200.0,USD,170200.0,US,0,US,M
2022,SE,FT,Data Analyst,35000.0,EUR,36773.0,ES,0,ES,M
2023,MI,FT,Research Scientist,212800.0,USD,212800.0,US,0,US,L
2023,SE,FT,Data Analyst,136000.0,USD,136000.0,US,100,US,M
2023,SE,FT,Data Engineer,116455.0,USD,116455.0,US,0,US,M
2024,SE,FT,Data Scientist,199700.0,USD,199700.0,US,0,US,M
2023,MI,FT,Data Analyst,105000.0,USD,105000.0,US,0,US,M
2023,MI,FT,Data Engineer,140000.0,USD,140000.0,US,100,US,M
2024,EN,FT,Research Analyst,300000.0,USD,300000.0,US,0,US,M
2021,MI,FT,Data Engineer,38400.0,EUR,45391.0,NL,100,NL,L
2023,SE,FT,Data Scientist,156400.0,USD,156400.0,US,100,US,M
2023,MI,FT,Machine Learning Engineer,300000.0,USD,300000.0,US,0,US,M
2023,MI,FT,Data Scientist,220000.0,USD,220000.0,US,0,US,M
2024,MI,FT,Data Engineer,113000.0,USD,113000.0,US,0,US,M
2024,SE,FT,Data Analyst,165000.0,USD,165000.0,US,100,US,M
2023,SE,FT,Data Scientist,143100.0,USD,143100.0,CA,0,CA,M
2023,SE,FT,Data Engineer,120000.0,USD,120000.0,US,0,US,M
2024,MI,FT,Data Scientist,160000.0,USD,160000.0,US,0,US,M
2024,MI,FT,Data Engineer,97000.0,USD,97000.0,US,0,US,M
2022,SE,FT,Data Scientist,204100.0,USD,204100.0,US,0,US,M
2022,SE,FT,Data Analyst,110600.0,USD,110600.0,US,0,US,M
2023,SE,FT,Data Analyst,120000.0,USD,120000.0,US,100,US,M
2020,EX,FT,Staff Data Analyst,15000.0,USD,15000.0,NG,0,CA,M
2023,SE,FT,Data Infrastructure Engineer,185000.0,USD,185000.0,US,0,US,M
2024,SE,FT,Data Scientist,170000.0,USD,170000.0,US,0,US,M
2024,SE,FT,Machine Learning Engineer,229900.0,USD,229900.0,US,0,US,M
2024,SE,FT,Data Operations Specialist,206500.0,USD,206500.0,US,0,US,M
2022,SE,FT,Data Analyst,81666.0,USD,81666.0,US,100,US,M
2023,SE,FT,Machine Learning Scientist,145000.0,USD,145000.0,US,100,US,M
2022,SE,FT,Data Scientist,191475.0,USD,191475.0,US,100,US,M
2023,SE,FT,Data Scientist,45000.0,EUR,48585.0,ES,0,ES,M
2023,SE,FT,Research Engineer,190400.0,USD,190400.0,US,0,US,M
2023,SE,FT,Data Analyst,79000.0,USD,79000.0,US,0,US,M
2023,SE,FT,Research Engineer,203000.0,USD,203000.0,US,0,US,M
2023,SE,FT,Research Analyst,83000.0,USD,83000.0,US,100,US,M
2022,SE,FT,Data Scientist,134000.0,USD,134000.0,US,100,US,M
2024,SE,FT,Applied Scientist,136000.0,USD,136000.0,US,0,US,L
2023,MI,FT,Data Engineer,72000.0,USD,72000.0,US,0,US,M
2023,SE,FT,Data Scientist,176000.0,USD,176000.0,US,0,US,M
2024,SE,FT,Data Scientist,115800.0,USD,115800.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,140100.0,USD,140100.0,US,0,US,M
2024,SE,FT,Data Analyst,133650.0,USD,133650.0,US,100,US,M
2024,SE,FT,Data Engineer,94500.0,USD,94500.0,US,0,US,M
2024,SE,FT,Research Engineer,176700.0,USD,176700.0,US,100,US,M
2023,EN,FT,BI Developer,85600.0,USD,85600.0,US,0,US,M
2023,SE,FT,AI Engineer,176000.0,USD,176000.0,US,0,US,M
2023,SE,FT,Data Analyst,119610.0,USD,119610.0,US,0,US,M
2023,SE,FT,Machine Learning Engineer,264400.0,USD,264400.0,US,100,US,M
2022,SE,FT,Data Engineer,260000.0,USD,260000.0,US,0,US,M
2023,SE,FT,Data Engineer,126000.0,USD,126000.0,US,0,US,M
2024,EN,FT,Data Analyst,83300.0,USD,83300.0,US,0,US,M
